pl_name,ra,dec,pl_bmasse
TOI-3071 b,173.2790517,-56.5033871,
TOI-1288 b,313.1670294,65.6087833,
HR 8799 b,346.8701486,21.1340376,2000.0
11 Com b,185.1787793,17.7932516,6165.6
HD 159868 b,264.7466665,-43.1462347,667.41
HATS-55 b,114.2833819,-32.7554188,
TOI-1736 c,43.4344615,69.101345,2800.0
TOI-2796 b,84.1527191,0.8962788,
HD 17156 b,42.4366123,71.7530882,1028.18005
TOI-2818 b,119.0598183,-35.1167104,
TOI-5301 b,12.9908008,13.0783712,
TOI-3321 b,265.7603351,-65.0082516,176.07694
NGTS-8 b,328.9759206,-14.0684399,295.5819
TOI-2803 A b,93.1147397,-23.4924956,
TOI-1859 b,279.8317644,69.5228726,
HD 149026 b,247.6229827,38.3475349,103.61258
TOI-1669 c,45.9564744,83.5874273,13.0
TOI-5205 b,313.7706819,24.360977,
TOI-3976 A b,224.3560083,44.2743223,
BD-14 3065 b,153.6696689,-15.6428372,
TOI-4201 b,90.4747237,-13.461371,788.21445
TOI-2977 b,143.9265177,-60.3574758,533.95172
TOI-1836 b,245.9079242,54.6900774,
TOI-3629 b,359.7933851,39.3142556,
HAT-P-2 b,245.1514324,41.0479601,
TOI-2145 b,263.7580753,40.6950428,
HAT-P-2 b,245.1514324,41.0479601,3175.1217
NGTS-10 b,91.8722801,-25.5948963,687.14846
TOI-1836 c,245.9079242,54.6900774,8.0
TOI-1669 c,45.9564744,83.5874273,
TOI-3912 b,215.8014956,24.0765639,
HAT-P-53 b,21.8711012,38.9681137,
HD 149026 b,247.6229827,38.3475349,
NGTS-12 b,176.2499418,-35.640563,
NGTS-2 b,215.1227617,-31.2020698,
HR 8799 b,346.8701486,21.1340376,
HR 8799 b,346.8701486,21.1340376,
XO-6 b,94.7929552,73.8275672,
TOI-4791 b,109.3883818,-19.8289392,734.18362
HAT-P-2 b,245.1514324,41.0479601,
TrES-5 b,305.2219454,59.4489033,
TOI-1408 b,313.5110469,72.5806455,593.0
TOI-1736 b,43.4344615,69.101345,
NGTS-30 b,173.714867,-24.6054801,
TOI-3693 b,15.6543938,51.3038918,
NGTS-2 b,215.1227617,-31.2020698,235.1942
TOI-5616 b,184.9016378,48.6832895,624.0
TOI-5232 b,294.3374248,35.2764934,743.71847
TOI-1836 b,245.9079242,54.6900774,24.7
HAT-P-2 b,245.1514324,41.0479601,
TOI-3629 b,359.7933851,39.3142556,82.63539
NGTS-21 b,311.2583112,-35.4278412,750.07504
TOI-2141 b,258.7623456,18.3403449,
HAT-P-53 b,21.8711012,38.9681137,469.43491
NGTS-12 b,176.2499418,-35.640563,66.10864
NGTS-2 b,215.1227617,-31.2020698,
TOI-5301 b,12.9908008,13.0783712,1160.07369
TrES-5 b,305.2219454,59.4489033,568.9157
HD 149026 b,247.6229827,38.3475349,
TOI-1408 c,313.5110469,72.5806455,7.6
TOI-1736 b,43.4344615,69.101345,12.8
TOI-5344 b,63.2662165,20.9151568,
XO-6 b,94.7929552,73.8275672,
TOI-5205 b,313.7706819,24.360977,343.0
TOI-4087 b,217.9257785,83.3727061,
TOI-3807 b,139.1125648,69.0741284,330.54154
TOI-2842 b,108.0442066,-10.63934,117.59651
HD 17156 b,42.4366123,71.7530882,1014.153
